Q1,Q2_MONTANTS,Q3,Q4_AUTRE
4,150.50,5,"Excellent service, très satisfait"
5,89.99,5,"Parfait, rien à redire"
3,200.00,3,"Service correct mais peut mieux faire"
4,75.25,4,"Bon service dans l'ensemble"
5,300.00,5,"Très professionnel, je recommande"
2,45.00,2,"Service décevant, amélioration nécessaire"
4,120.75,4,"Satisfait de mon expérience"
5,180.50,5,"Équipe très compétente"
3,95.00,3,"Moyen, sans plus"
4,160.25,4,"Bonne prestation"
1,25.00,1,"Très mauvais service"
5,250.00,5,"Exceptionnel !"
4,110.00,4,"Bien mais perfectible"
3,80.50,3,"Correct"
5,220.75,5,"Je reviendrai certainement"
